codigo_ibge,NomMunicipio,longitude,latitude,UF
1300680,Boa Vista do Ramos,-57.67010967474424,-3.1378440103802268,AM
1300706,Boca do Acre,-68.04742196706916,-8.773636562770456,AM
1300805,Borba,-59.534570090449165,-4.958609670226243,AM
1300839,Caapiranga,-61.877739406437975,-3.0820766286637515,AM
1300904,Canutama,-64.06191190562448,-7.302430632201795,AM
1301001,Carauari,-67.33773363628839,-5.119010459134501,AM
1301100,Careiro,-60.18331399147944,-3.7705795399496607,AM
1301159,Careiro da Várzea,-59.59867225644626,-3.286029624125944,AM
1301209,Coari,-64.12569047608503,-4.437444946275614,AM
1301308,Codajás,-62.973052191595016,-3.289275371527826,AM
1301407,Eirunepé,-70.21849085431676,-7.02232977563296,AM
1301506,Envira,-70.05514078075589,-7.573423039242207,AM
1301605,Fonte Boa,-66.35765077095135,-2.4910676904606204,AM
1301654,Guajará,-72.84449674612178,-7.229865117788195,AM
1301704,Humaitá,-62.48648809482037,-7.362426762069044,AM
1301803,Ipixuna,-71.41298791362271,-7.180734719860011,AM
1301852,Iranduba,-60.47965054338727,-3.0952462085662247,AM
1301902,Itacoatiara,-58.77529737469701,-3.174215413704362,AM
1301951,Itamarati,-68.11286737470996,-6.6830618839013045,AM
1302009,Itapiranga,-58.61324743292264,-2.497256650505458,AM
1302108,Japurá,-68.32106052790161,-1.6973300172844026,AM
1302207,Juruá,-66.30806060391782,-3.525009267341999,AM
1302306,Jutaí,-68.40744708703447,-4.717664866317835,AM
1302405,Lábrea,-65.81206445233377,-8.377363874834543,AM
1302504,Manacapuru,-60.95874207989699,-3.291643534299644,AM
1302553,Manaquiri,-60.69731539645497,-3.779141800115143,AM
1302603,Manaus,-60.25959920353113,-2.626038637780597,AM
1302702,Manicoré,-61.446940698061255,-6.462848267386168,AM
1302801,Maraã,-65.03934663512109,-2.427190489729615,AM
1302900,Maués,-58.061430775900135,-4.9874063163384585,AM
1303007,Nhamundá,-57.65605045280415,-1.6808221993795065,AM
1303106,Nova Olinda do Norte,-58.599735166293065,-3.989617768343584,AM
1303205,Novo Airão,-61.70359361977289,-2.048587758528229,AM
1303304,Novo Aripuanã,-60.47808407751109,-6.828290429307483,AM
1303403,Parintins,-56.85464314149933,-2.6881825509866126,AM
1303502,Pauini,-68.19712579002422,-7.7582891068183155,AM
1303536,Presidente Figueiredo,-59.989509465437855,-1.3710860062338432,AM
1303569,Rio Preto da Eva,-59.63836809755073,-2.529871968571479,AM
1303601,Santa Isabel do Rio Negro,-65.52139441016365,-0.3184477428370185,AM
1303700,Santo Antônio do Içá,-69.08937016589758,-3.0529938335754387,AM
1303809,São Gabriel da Cachoeira,-67.99707424953475,0.3745893510548151,AM
1303908,São Paulo de Olivença,-69.45158177321167,-4.502832639309948,AM
1303957,São Sebastião do Uatumã,-58.70519835800267,-1.9418658486152327,AM
1304005,Silves,-58.53707697924088,-2.820568982088035,AM
1304062,Tabatinga,-69.67764083846569,-4.028332790194506,AM
1304104,Tapauá,-64.95653398965318,-6.094556211006695,AM
1304203,Tefé,-65.5320312863082,-4.47080001071317,AM
1304237,Tonantins,-67.8260373124031,-2.6918371239873644,AM
1304260,Uarini,-65.4108582718673,-3.1658164754675577,AM
1304302,Urucará,-59.02819882537727,-0.8960499247458813,AM
1304401,Urucurituba,-57.77350129729924,-2.8154418484338466,AM
1400027,Amajari,-62.43704982884236,3.733007599508828,RR
1400050,Alto Alegre,-62.74239232242432,3.0721806486850967,RR
1400100,Boa Vista,-60.71793356454289,3.1180087817538342,RR
1400159,Bonfim,-60.100626268325854,2.787914006863415,RR
1400175,Cantá,-60.54228397596005,2.272913769658017,RR
1400209,Caracaraí,-61.47149322311379,0.9909068436204168,RR
1400233,Caroebe,-59.33815209642261,0.9147405287177222,RR
1400282,Iracema,-62.40171393967896,2.1818785528332696,RR
1400308,Mucajaí,-61.99678099346564,2.510999938808727,RR
1400407,Normandia,-60.06542683850259,3.878950814668255,RR
1400456,Pacaraima,-60.83941482629973,4.168702139917841,RR
1400472,Rorainópolis,-61.01118034673832,0.0380355548920385,RR
1400506,São João da Baliza,-59.84502187204967,0.6358038518119097,RR
1400605,São Luiz,-60.151835751482366,0.8844441230042982,RR
1400704,Uiramutã,-60.27936151913764,4.685619374320316,RR
1500107,Abaetetuba,-48.883068005392325,-1.730263124211182,PA
1500131,Abel Figueiredo,-48.4245996005533,-4.957327831722922,PA
1500206,Acará,-48.41146939188873,-2.0354488665187933,PA
1500305,Afuá,-50.725905059837785,-0.262845967109086,PA
1500347,Água Azul do Norte,-50.43011769820402,-6.773093289814257,PA
1500404,Alenquer,-55.03914148864139,-0.6047944345671644,PA
1500503,Almeirim,-53.893637947963015,0.284620308775192,PA
1500602,Altamira,-53.88740404337539,-6.494728041833612,PA
1500701,Anajás,-49.96138674323359,-0.8271470938428849,PA
1500800,Ananindeua,-48.38354580442583,-1.3340824506805704,PA
1500859,Anapu,-51.30115259110012,-3.998145387356768,PA
1500909,Augusto Corrêa,-46.5074160615332,-1.1047109232355696,PA
1500958,Aurora do Pará,-47.72635648502247,-2.231190717870453,PA
1501006,Aveiro,-56.01632572361072,-3.6673157344092897,PA
1501105,Bagre,-50.18173584882975,-2.3732882626059104,PA
1501204,Baião,-49.69898711492819,-3.1299371316258204,PA
1501253,Bannach,-50.634417433614026,-7.486440511768213,PA
1501303,Barcarena,-48.634230620279865,-1.498627168197407,PA
1501402,Belém,-48.459911565633895,-1.2407274839040496,PA
1501451,Belterra,-54.99285689862501,-3.191316967221347,PA
1501501,Benevides,-48.27562006334934,-1.3396195295387567,PA
1501576,Bom Jesus do Tocantins,-48.76351835937266,-5.054318579278512,PA
1501600,Bonito,-47.30228104791215,-1.3873403775679711,PA
1501709,Bragança,-46.76358268607197,-1.1931041720725828,PA
1501725,Brasil Novo,-52.68543870783732,-3.2923039706261497,PA
1501758,Brejo Grande do Araguaia,-48.43191054493641,-5.735549465029259,PA
1501782,Breu Branco,-49.37121429988813,-3.7335658031951433,PA
1501808,Breves,-50.62813057584486,-1.1209530662487752,PA
1501907,Bujaru,-48.0898796500378,-1.6329714690945147,PA
1501956,Cachoeira do Piriá,-46.4432141773629,-1.988702358271168,PA
1502004,Cachoeira do Arari,-48.8772353488112,-0.8694374395516444,PA
1502103,Cametá,-49.51353810723593,-2.253009310708733,PA
1502152,Canaã dos Carajás,-50.08565407485141,-6.424242048668106,PA
1502202,Capanema,-47.11790160804464,-1.14208821029715,PA
1502301,Capitão Poço,-47.23341136431765,-2.042251980068049,PA
1502400,Castanhal,-47.876978730912526,-1.26852221521757,PA
1502509,Chaves,-49.83789234527733,-0.0324004144410942,PA
1502608,Colares,-48.273719630823145,-0.9358469498046516,PA
1502707,Conceição do Araguaia,-49.51274639768392,-8.18275450530285,PA
1502756,Concórdia do Pará,-47.97465744408717,-1.88172208105446,PA
1502764,Cumaru do Norte,-51.221227537895935,-8.459246342369685,PA
1502772,Curionópolis,-49.62460525611645,-6.229056289563241,PA
1502806,Curralinho,-49.98804006498548,-1.5834808447972084,PA
1502855,Curuá,-55.113475758443705,-1.845810719071589,PA
1502905,Curuçá,-47.86388335454518,-0.7427466497519881,PA
1502939,Dom Eliseu,-47.89807576637455,-4.186647434731472,PA
1502954,Eldorado do Carajás,-49.24545664954905,-6.0697049971255375,PA
1503002,Faro,-57.80579943745901,-1.159283018077356,PA
1503044,Floresta do Araguaia,-49.57607151611869,-7.54844651145015,PA
1503077,Garrafão do Norte,-47.07598102424669,-2.1683338688468816,PA
1503093,Goianésia do Pará,-49.00575328390158,-4.027287307246721,PA
1503101,Gurupá,-51.55390375790793,-1.1494867132740452,PA
1503200,Igarapé-Açu,-47.56598871430146,-1.1450222373088814,PA
1503309,Igarapé-Miri,-49.130747628717536,-2.0627320636581445,PA
1503408,Inhangapi,-47.92267074508842,-1.4646790888363732,PA
1503457,Ipixuna do Pará,-47.92164190818569,-2.805912180254771,PA
1503507,Irituia,-47.39985685537315,-1.8115466000592573,PA
1503606,Itaituba,-56.49658726457555,-5.874813843556349,PA
1503705,Itupiranga,-49.86969248385463,-5.114892702894308,PA
1503754,Jacareacanga,-57.30194228381477,-7.449083459942994,PA
1503804,Jacundá,-49.181198031530535,-4.598565830842492,PA
1503903,Juruti,-56.2213947802007,-2.622999092195114,PA
1504000,Limoeiro do Ajuru,-49.4691903481654,-1.864217283869377,PA
1504059,Mãe do Rio,-47.512782584900776,-1.9910167341265104,PA
1504109,Magalhães Barata,-47.63520952720302,-0.8098528802459628,PA
1504208,Marabá,-50.017048652161385,-5.629929609845693,PA
1504307,Maracanã,-47.49744146417432,-0.8101399936624345,PA
1504406,Marapanim,-47.70981275127142,-0.8374213293228686,PA
1504422,Marituba,-48.31978968701281,-1.397451145757755,PA
1504455,Medicilândia,-53.19497748774312,-3.1603014095064603,PA
1504505,Melgaço,-51.103884548362096,-1.607617573368413,PA
1504604,Mocajuba,-49.46638290351608,-2.576691866090117,PA
1504703,Moju,-49.07411793049895,-2.684180761423037,PA
1504752,Mojuí dos Campos,-54.57515159408417,-3.070505228220157,PA
1504802,Monte Alegre,-54.35303536469682,-1.0745525143696368,PA
1504901,Muaná,-49.30924712054223,-1.3557001958370711,PA
1504950,Nova Esperança do Piriá,-46.90006841477938,-2.392689680767809,PA
1504976,Nova Ipixuna,-49.23076514166383,-4.981122688776034,PA
1505007,Nova Timboteua,-47.39214840288687,-1.15644839467807,PA
1505031,Novo Progresso,-55.61185515436805,-8.065164977967898,PA
1505064,Novo Repartimento,-50.27163994475905,-4.503017752433761,PA
1505106,Óbidos,-55.67484530654954,-0.1695837242256906,PA
1505205,Oeiras do Pará,-49.90232543160542,-2.2790086628039434,PA
1505304,Oriximiná,-57.14977954875176,0.2550485567324914,PA
1505403,Ourém,-47.13919651735508,-1.4959215893041522,PA
1505437,Ourilândia do Norte,-51.431222877083954,-7.521197871406059,PA
1505486,Pacajá,-50.6316939640723,-3.6842364106486576,PA
1505494,Palestina do Pará,-48.37019120353391,-5.927308387306572,PA
1505502,Paragominas,-47.603289844863866,-3.2036174902845165,PA
1505536,Parauapebas,-50.4898188104256,-6.151804015195396,PA
1505551,Pau D'Arco,-50.123604603753336,-7.737004669863234,PA
1505601,Peixe-Boi,-47.27198254995809,-1.130714776584364,PA
1505635,Piçarra,-49.01176194755172,-6.541082351398164,PA
1505650,Placas,-54.5006588381609,-3.8899511961454194,PA
1505700,Ponta de Pedras,-49.07726888525749,-1.117534044497139,PA
1505809,Portel,-50.95555007170188,-2.565602768679524,PA
