regime,nystrom_error,kpca_distortion,method
Population-share,0.15459126281914526,0.2960333380801124,nsga2
Population-share,0.09099708866808087,0.21776191482168253,nsga2
Population-share,0.04794535994169742,0.10393331640043724,nsga2
Population-share,0.05115291860667079,0.11602136221303182,nsga2
Population-share,0.09929761760512179,0.2624676977514716,nsga2
Population-share,0.04532113998038145,0.09325753369002417,nsga2
Population-share,0.06792048741346791,0.1755907548905471,nsga2
Population-share,0.04875243427354164,0.11005240695797591,nsga2
Population-share,0.04597650398227476,0.09256378960407564,nsga2
Population-share,0.04343231322255921,0.08495046672176675,nsga2
Population-share,0.07958804856496328,0.21708391794126763,nsga2
Population-share,0.0783670107313901,0.19840342050210075,nsga2
Population-share,0.06616273883574471,0.1638069771841907,nsga2
Population-share,0.043842543938214754,0.08664809712131438,nsga2
Population-share,0.05254511266619002,0.12539133228162525,nsga2
Population-share,0.06334022891636898,0.1718896720382782,nsga2
Population-share,0.071222062401798,0.18323265836339792,nsga2
Population-share,0.07049107254342088,0.18379681174799337,nsga2
Population-share,0.07006914705334391,0.16966989720292733,nsga2
Population-share,0.12984043404025247,0.3240770901723682,nsga2
Population-share,0.08132243667009262,0.21952579047509516,nsga2
Population-share,0.046390817094999266,0.10071871476206246,nsga2
Population-share,0.15718424793916058,0.36306454584923664,nsga2
Population-share,0.055097072865828545,0.13177686914183903,nsga2
Population-share,0.049162783161478756,0.10824932457530301,nsga2
Population-share,0.04631132415577521,0.09901455725376856,nsga2
Population-share,0.08204461361517416,0.22560404420462793,nsga2
Population-share,0.04377155732166883,0.09012652433865569,nsga2
Population-share,0.08197428700975143,0.22015377015163065,nsga2
Population-share,0.04570892474809362,0.09712353751886392,nsga2
Population-share,0.06416265085828984,0.17089981640020324,nsga2
Population-share,0.12490182128643523,0.30258928352774406,nsga2
Population-share,0.045231261747022806,0.09475066047274018,nsga2
Population-share,0.04659973338686562,0.10237194174754036,nsga2
Population-share,0.05585888560965327,0.13663940516328346,nsga2
Population-share,0.0789216450641611,0.2127665596482995,nsga2
Population-share,0.05653363953888888,0.1383529099809602,nsga2
Population-share,0.05332786851969956,0.12783458981138182,nsga2
Population-share,0.07078110089779172,0.18625476215450606,nsga2
Population-share,0.09027465257064796,0.23309029653295107,nsga2
