space,nystrom_error,kpca_distortion,method
PCA,0.1507603132991093,0.2734455682978899,nsga2
PCA,0.17245112717535147,0.3074639840700033,nsga2
PCA,0.07641592935118857,0.18050837501111047,nsga2
PCA,0.0431961176379051,0.08517993314806703,nsga2
PCA,0.06989495724268448,0.16904288684658422,nsga2
PCA,0.08231040431747101,0.17460535071066358,nsga2
Raw,0.07650430018580945,0.15905995757280433,nsga2
Raw,0.06427616714949813,0.13411971796669947,nsga2
Raw,0.07761953762596314,0.16322776870612332,nsga2
Raw,0.04822086506395072,0.09735526098343403,nsga2
Raw,0.04962068737009472,0.10373468675126378,nsga2
Raw,0.04434643687543166,0.08573558906229012,nsga2
Raw,0.07224293969153267,0.15102420810129377,nsga2
Raw,0.054373344850884166,0.11348327811622506,nsga2
Raw,0.05084154267882979,0.10518398568245692,nsga2
Raw,0.05752750780560858,0.1255705314594827,nsga2
Raw,0.05463977722268289,0.11165352508286912,nsga2
Raw,0.04022897534942282,0.07160006208883393,nsga2
Raw,0.04597877626019087,0.08917139288631547,nsga2
Raw,0.06830837543897358,0.14009646602050072,nsga2
Raw,0.0559942204236277,0.11521773146793508,nsga2
Raw,0.05272276682177017,0.10907869369064206,nsga2
Raw,0.0902402062086976,0.17351525478037527,nsga2
Raw,0.08407303581310295,0.1732405567531373,nsga2
Raw,0.07034237050932687,0.14969219101047537,nsga2
Raw,0.08520538257407465,0.1747596722342725,nsga2
Raw,0.04813301432535492,0.09719477337938962,nsga2
Raw,0.04930831251795865,0.10128918527586295,nsga2
Raw,0.058102482977754145,0.12883544038890682,nsga2
Raw,0.05391376900709187,0.11023113760144927,nsga2
Raw,0.07678651877287812,0.15887542502468016,nsga2
Raw,0.08585898252766698,0.16978183565670807,nsga2
Raw,0.06027764257111655,0.13479907619146916,nsga2
Raw,0.0997575535011395,0.19207638472176014,nsga2
Raw,0.053911239341913844,0.11404577224471078,nsga2
Raw,0.09819717999014536,0.1882195256492654,nsga2
Raw,0.04490334495319817,0.08817940362078125,nsga2
Raw,0.0774833154713507,0.1652649460828205,nsga2
Raw,0.09879214590404284,0.1899148361028856,nsga2
Raw,0.04866532237676631,0.1002059343908793,nsga2
Raw,0.07128253277044501,0.1494764365719424,nsga2
Raw,0.05325352797976152,0.10832179162219828,nsga2
Raw,0.04558986399499619,0.0882655437639332,nsga2
Raw,0.10229857864065844,0.19392817755241754,nsga2
Raw,0.055624534664560625,0.11930112726152384,nsga2
Raw,0.048728198426375796,0.09984094986135357,nsga2
Raw,0.0461991574308003,0.08926355433374811,nsga2
Raw,0.0778725096027457,0.15924982587136158,nsga2
Raw,0.09992698423420662,0.19202967542165486,nsga2
Raw,0.06208813434613622,0.1343503264076652,nsga2
Raw,0.06655965829130603,0.14147652596029686,nsga2
Raw,0.07182076951557996,0.15529848924061798,nsga2
Raw,0.05907124636112726,0.12781027179399235,nsga2
Raw,0.08120112873562169,0.1698993387285879,nsga2
Raw,0.07847863939502005,0.1640047846813877,nsga2
Raw,0.09984375811402472,0.19185476199125762,nsga2
